nranks,rounds,npivots,mean,std,min,max
16,1,256,11008.0,0.0,11008,11008
32,1,256,17108.0,0.0,17108,17108
64,1,256,19730.0,0.0,19730,19730
128,1,256,34575.0,0.0,34575,34575
256,1,256,31434.0,0.0,31434,31434
512,1,256,49444.0,0.0,49444,49444
1024,1,256,53960.0,0.0,53960,53960
16,10,256,15203.0,3405.1,11181,19840
32,10,256,17929.0,3888.4,13435,27437
64,10,256,30481.0,5529.4,21905,40320
128,10,256,29566.0,3024.5,25292,36169
256,10,256,36919.0,4208.3,32495,45762
512,10,256,46755.0,6390.3,38877,59501
1024,10,256,76925.0,63869.3,48325,267476
16,100,256,12041.0,3835.0,5791,29881
32,100,256,23439.0,6704.3,10219,44094
64,100,256,24942.0,14267.5,12089,133295
128,100,256,30275.0,7029.9,20959,59135
256,100,256,40068.0,26548.2,23505,295265
512,100,256,54281.0,45801.4,31041,319078
1024,100,256,82839.0,64540.9,43736,297081
