,run,epcnt,epoch1_wr_min,epoch1_wr_max,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
0,3,1,6500000,6600000,6500000,6600000,0,0,109198.0,109888.0,6590.393,116478.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,6500000,6600000,6500000,6600000,0,0,113792.0,114482.0,56676.59299999999,369689.639,6500000.0,6600000.0,6500000.0,6600000.0,95157.0,95719.0,102228.0,102811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,12,6500000,6600000,6500000,6600000,0,0,127928.0,128734.00000000001,1851.2759999999998,1500975.4579999999,6500000.0,6600000.0,6500000.0,6600000.0,85601.0,86502.0,156346.0,157024.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,78404.0,79278.0,157076.0,157684.0,115622.0,116426.0,147115.0,147624.0,85436.0,86110.0,154674.0,155473.0,125892.0,126825.0,107352.0,108094.0,148762.0,149351.0
3,4,1,6500000,6600000,6500000,6600000,0,0,92429.0,93164.0,16932.234999999997,110096.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,9,6500000,6600000,6500000,6600000,0,0,99638.0,100819.0,21962.866,1236533.398,6500000.0,6600000.0,6500000.0,6600000.0,119996.0,120715.0,147555.0,148351.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,138696.0,139347.0,151643.0,152628.0,128158.99999999999,129217.99999999999,137239.0,137913.0,136443.0,138231.0,146379.0,147350.0,,,,,,
5,3,6,6500000,6600000,6500000,6600000,0,0,85081.0,85647.0,39020.865,897922.548,6500000.0,6600000.0,6500000.0,6600000.0,123992.0,124791.0,186668.0,187382.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,157667.0,158384.0,167901.0,168840.0,133213.0,133858.0,,,,,,,,,,,,
6,1,3,6500000,6600000,6500000,6600000,0,0,108043.0,108548.0,44226.182,382094.482,6500000.0,6600000.0,6500000.0,6600000.0,109523.0,110198.0,118558.0,119122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,12,6500000,6600000,6500000,6600000,0,0,121256.0,121935.0,9241.098,1523970.5899999999,6500000.0,6600000.0,6500000.0,6600000.0,107868.0,108564.0,105572.0,107340.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,150123.0,150631.0,104380.0,105248.0,128107.0,128743.0,136542.0,137218.0,127805.0,128669.99999999999,116126.0,116765.0,138553.0,139300.0,144399.0,145037.0,124504.0,125279.0
8,4,3,6500000,6600000,6500000,6600000,0,0,106197.0,106807.0,9964.159,352123.18299999996,6500000.0,6600000.0,6500000.0,6600000.0,101667.0,102236.0,132545.0,133117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,1,6500000,6600000,6500000,6600000,0,0,95717.0,96404.0,11230.928,107634.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,3,6500000,6600000,6500000,6600000,0,0,73743.0,82061.0,7866.673,352477.597,6500000.0,6600000.0,6500000.0,6600000.0,114972.0,115999.0,146010.0,146551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,6,6500000,6600000,6500000,6600000,0,0,82367.0,84533.0,8202.93,771009.674,6500000.0,6600000.0,6500000.0,6600000.0,125090.0,125894.0,143712.0,144650.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,134844.0,135524.0,127575.0,128352.0,142828.0,143852.0,,,,,,,,,,,,
12,5,9,6500000,6600000,6500000,6600000,0,0,94653.0,102200.0,9993.357,1115628.05,6500000.0,6600000.0,6500000.0,6600000.0,107467.0,113215.0,125156.0,126023.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,130675.00000000001,131375.0,139688.0,140758.0,115837.0,116520.0,139493.0,140187.0,85912.0,86880.0,147730.0,148476.0,,,,,,
13,4,6,6500000,6600000,6500000,6600000,0,0,89038.0,90039.0,44846.511,775430.931,6500000.0,6600000.0,6500000.0,6600000.0,117245.0,119162.0,153126.0,154118.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,104438.0,105191.0,151212.0,152159.0,109076.0,109915.0,,,,,,,,,,,,
14,4,9,6500000,6600000,6500000,6600000,0,0,73679.0,80020.0,25867.335,1175704.4100000001,6500000.0,6600000.0,6500000.0,6600000.0,120908.0,121600.0,152437.0,153161.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,133948.0,134548.0,110972.0,112226.0,143425.0,144153.0,141405.0,142404.0,137895.0,138541.0,122452.0,123184.0,,,,,,
15,5,6,6500000,6600000,6500000,6600000,0,0,87746.0,88388.0,55551.958,766258.309,6500000.0,6600000.0,6500000.0,6600000.0,135761.0,136372.0,125989.0,126664.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,106198.0,106831.0,149839.0,150649.0,101074.0,101802.0,,,,,,,,,,,,
16,2,1,6500000,6600000,6500000,6600000,0,0,140637.0,141320.0,7329.456999999999,148649.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,9,6500000,6600000,6500000,6600000,0,0,113102.0,113708.0,17643.097,1240686.3129999998,6500000.0,6600000.0,6500000.0,6600000.0,116257.0,117379.0,165924.0,166644.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,98658.0,99428.0,165823.0,166491.0,148581.0,149255.0,135787.0,136699.0,111123.0,111753.0,161093.0,161686.0,,,,,,
18,1,9,6500000,6600000,6500000,6600000,0,0,97764.0,98255.0,17921.833,1317044.37,6500000.0,6600000.0,6500000.0,6600000.0,131553.0,142107.0,154638.0,155261.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,141295.0,142019.0,148767.0,149667.0,170808.0,171441.0,157852.0,158571.0,139006.0,139643.0,141308.0,142160.0,,,,,,
19,4,12,6500000,6600000,6500000,6600000,0,0,119285.0,120469.0,44240.11,1562440.4070000001,6500000.0,6600000.0,6500000.0,6600000.0,116335.0,117100.0,109504.0,110465.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,160212.0,161106.0,127803.0,128423.0,112584.0,113287.0,120032.0,120588.0,98446.0,102031.0,123433.0,124105.0,136391.0,137053.0,133890.0,134466.0,148585.0,149108.0
20,2,6,6500000,6600000,6500000,6600000,0,0,86803.0,87950.0,15596.966999999999,732587.0750000001,6500000.0,6600000.0,6500000.0,6600000.0,105766.0,106520.0,146364.0,146980.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,116041.0,116856.0,138511.0,141995.0,115891.0,116689.0,,,,,,,,,,,,
21,6,1,6500000,6600000,6500000,6600000,0,0,84354.0,85015.0,47852.477,132867.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,12,6500000,6600000,6500000,6600000,0,0,114108.0,114607.0,25194.512,1368045.42,6500000.0,6600000.0,6500000.0,6600000.0,89785.0,94083.0,106626.0,109036.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,121457.0,122147.0,104851.0,105593.0,103176.0,107258.0,124445.0,125239.0,129854.00000000001,130610.99999999999,103048.0,103960.0,109496.0,110404.0,102624.0,103425.0,115788.0,116489.0
23,1,6,6500000,6600000,6500000,6600000,0,0,109922.0,110654.0,25394.244,803116.986,6500000.0,6600000.0,6500000.0,6600000.0,98942.0,105050.0,139347.0,142528.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,121197.0,121857.0,147285.0,147983.0,148866.0,149652.0,,,,,,,,,,,,
24,1,1,6500000,6600000,6500000,6600000,0,0,104046.0,114574.0,1088.763,115662.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,12,6500000,6600000,6500000,6600000,0,0,92183.0,92855.0,29604.92,1411979.5140000002,6500000.0,6600000.0,6500000.0,6600000.0,105139.0,105885.0,117496.0,118194.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,112907.0,113520.0,114164.0,114737.0,134612.0,135118.0,103118.0,103910.0,109176.0,109800.0,126125.0,126777.0,112532.0,113218.0,131908.0,132597.0,115060.0,115764.0
26,5,3,6500000,6600000,6500000,6600000,0,0,82950.0,83661.0,16061.243,416821.718,6500000.0,6600000.0,6500000.0,6600000.0,124243.0,124754.0,191594.0,192345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,9,6500000,6600000,6500000,6600000,0,0,102959.0,103712.0,39459.845,1244579.9079999998,6500000.0,6600000.0,6500000.0,6600000.0,114556.0,115160.0,113832.0,114533.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,152952.0,153655.0,157627.0,158554.0,143133.0,143804.0,127717.0,128398.0,147585.0,148549.0,134539.0,138756.0,,,,,,
28,6,3,6500000,6600000,6500000,6600000,0,0,96796.0,97560.0,1295.145,350427.29600000003,6500000.0,6600000.0,6500000.0,6600000.0,108149.0,109032.0,141418.0,142539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,5,12,6500000,6600000,6500000,6600000,0,0,116153.0,116798.0,46311.231,1433840.71,6500000.0,6600000.0,6500000.0,6600000.0,99812.0,100377.0,104215.0,104840.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,134968.0,135800.0,119171.0,119994.0,93737.0,94403.0,117621.0,118499.0,124221.0,124788.0,106090.0,106761.0,127806.0,128568.99999999999,116024.0,116625.0,119436.0,120076.0
