,runtype,run,nranks,epcnt,total_io_time
110,dfs-ioonly,3,16,12,46080.703
115,dfs-ioonly,2,16,12,46608.467
117,dfs-ioonly,1,16,12,43449.054
109,dfs-ioonly,3,32,12,53665.915
113,dfs-ioonly,2,32,12,48298.24
116,dfs-ioonly,1,32,12,48120.089
111,dfs-ioonly,3,64,12,69198.003
112,dfs-ioonly,1,64,12,69742.462
119,dfs-ioonly,2,64,12,68882.425
107,dfs-ioonly,3,128,12,135211.127
118,dfs-ioonly,2,128,12,134723.711
122,dfs-ioonly,1,128,12,135207.751
105,dfs-ioonly,3,256,12,317673.423
114,dfs-ioonly,2,256,12,340187.876
121,dfs-ioonly,1,256,12,298357.33800000005
106,dfs-ioonly,3,512,12,971804.395
108,dfs-ioonly,2,512,12,1025235.5549999999
120,dfs-ioonly,1,512,12,1077818.181
41,dfs-reg-suite,3,16,12,138398.446
46,dfs-reg-suite,2,16,12,141308.47600000002
48,dfs-reg-suite,1,16,12,141150.351
40,dfs-reg-suite,3,32,12,918049.0
44,dfs-reg-suite,2,32,12,903603.43
47,dfs-reg-suite,1,32,12,922172.3809999999
42,dfs-reg-suite,3,64,12,586872.103
43,dfs-reg-suite,1,64,12,597897.511
50,dfs-reg-suite,2,64,12,598959.5430000001
38,dfs-reg-suite,3,128,12,422355.479
49,dfs-reg-suite,2,128,12,414310.48099999997
53,dfs-reg-suite,1,128,12,419653.162
36,dfs-reg-suite,3,256,12,343324.406
45,dfs-reg-suite,2,256,12,375176.957
52,dfs-reg-suite,1,256,12,380842.152
37,dfs-reg-suite,3,512,12,1076373.412
39,dfs-reg-suite,2,512,12,1038569.955
51,dfs-reg-suite,1,512,12,1076555.871
74,dfs-seq-suite,3,16,12,136284.09
79,dfs-seq-suite,2,16,12,135492.692
81,dfs-seq-suite,1,16,12,130552.371
73,dfs-seq-suite,3,32,12,917501.751
77,dfs-seq-suite,2,32,12,913283.146
80,dfs-seq-suite,1,32,12,903197.295
75,dfs-seq-suite,3,64,12,603608.2609999999
76,dfs-seq-suite,1,64,12,619279.288
83,dfs-seq-suite,2,64,12,594746.509
71,dfs-seq-suite,3,128,12,415323.191
82,dfs-seq-suite,2,128,12,416434.85500000004
86,dfs-seq-suite,1,128,12,420923.147
69,dfs-seq-suite,3,256,12,535572.8779999999
78,dfs-seq-suite,2,256,12,495132.359
85,dfs-seq-suite,1,256,12,429843.17600000004
70,dfs-seq-suite,3,512,12,1298840.434
72,dfs-seq-suite,2,512,12,1310028.5699999998
84,dfs-seq-suite,1,512,12,1307933.277
23,network-suite,3,16,12,122158.30900000001
28,network-suite,2,16,12,122038.074
30,network-suite,1,16,12,126182.0
22,network-suite,3,32,12,847050.638
26,network-suite,2,32,12,855227.86
29,network-suite,1,32,12,860663.349
24,network-suite,3,64,12,576201.1730000001
25,network-suite,1,64,12,551999.166
32,network-suite,2,64,12,553103.081
20,network-suite,3,128,12,389412.643
31,network-suite,2,128,12,388351.77800000005
35,network-suite,1,128,12,386147.54099999997
18,network-suite,3,256,12,280331.306
27,network-suite,2,256,12,279239.318
34,network-suite,1,256,12,279168.343
19,network-suite,3,512,12,300746.32
21,network-suite,2,512,12,297322.207
33,network-suite,1,512,12,296312.05
57,network-suite-1hopsim,3,16,12,126224.47499999999
62,network-suite-1hopsim,2,16,12,125381.163
64,network-suite-1hopsim,1,16,12,120330.263
56,network-suite-1hopsim,3,32,12,168456.714
60,network-suite-1hopsim,2,32,12,164394.329
63,network-suite-1hopsim,1,32,12,155528.56900000002
58,network-suite-1hopsim,3,64,12,340758.4
59,network-suite-1hopsim,1,64,12,356515.717
66,network-suite-1hopsim,2,64,12,329214.511
55,network-suite-1hopsim,3,128,12,478220.442
65,network-suite-1hopsim,2,128,12,474745.022
68,network-suite-1hopsim,1,128,12,458096.363
54,network-suite-1hopsim,3,256,12,561128.3929999999
61,network-suite-1hopsim,2,256,12,579446.725
67,network-suite-1hopsim,1,256,12,556785.314
92,network-suite-bigrpc,3,16,12,120814.60800000001
97,network-suite-bigrpc,2,16,12,120861.424
99,network-suite-bigrpc,1,16,12,120631.148
91,network-suite-bigrpc,3,32,12,836412.812
95,network-suite-bigrpc,2,32,12,799887.1020000001
98,network-suite-bigrpc,1,32,12,827537.535
101,network-suite-bigrpc,2,64,12,548876.527
93,network-suite-bigrpc,3,64,12,527576.667
94,network-suite-bigrpc,1,64,12,524079.77400000003
100,network-suite-bigrpc,2,128,12,365988.155
104,network-suite-bigrpc,1,128,12,371297.561
89,network-suite-bigrpc,3,128,12,357644.112
103,network-suite-bigrpc,1,256,12,263591.59599999996
87,network-suite-bigrpc,3,256,12,270346.462
96,network-suite-bigrpc,2,256,12,267174.05000000005
102,network-suite-bigrpc,1,512,12,265717.14400000003
88,network-suite-bigrpc,3,512,12,265494.089
90,network-suite-bigrpc,2,512,12,262563.46
10,network-suite-psm,2,16,12,263442.814
12,network-suite-psm,1,16,12,263856.739
5,network-suite-psm,3,16,12,265319.946
11,network-suite-psm,1,32,12,899735.374
4,network-suite-psm,3,32,12,890813.299
8,network-suite-psm,2,32,12,894799.9670000001
14,network-suite-psm,2,64,12,730620.4639999999
6,network-suite-psm,3,64,12,716381.748
7,network-suite-psm,1,64,12,681480.456
13,network-suite-psm,2,128,12,582786.699
17,network-suite-psm,1,128,12,579291.419
2,network-suite-psm,3,128,12,582977.755
0,network-suite-psm,3,256,12,352530.813
16,network-suite-psm,1,256,12,365634.375
9,network-suite-psm,2,256,12,361461.987
1,network-suite-psm,3,512,12,366837.104
15,network-suite-psm,1,512,12,353355.295
3,network-suite-psm,2,512,12,356252.23699999996
