,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,load_std,wr_dropped,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch11_wr_min,epoch11_wr_max
0,network-suite,1,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,41401.0,47372.0,41102.0,46396.0,42669.0,44219.0,41692.0,46148.0,42355.0,48220.0,41793.0,46377.0,42845.0,44955.0,44435.0,46611.0,42670.0,46975.0,1.526,553937.853,,,,,,,,
1,network-suite,1,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1.822,71055.058,20180.0,23916.0,20454.0,23866.0,20213.0,23271.0,,
2,network-suite,2,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,2.06,69013.02699999999,20438.0,23158.0,20238.0,22484.0,19830.0,23369.0,,
3,network-suite,1,512,1,6500000,6600000,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,3.039,25514.865,20419.0,25512.0,,,,,,
4,network-suite,2,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,73466.0,73676.0,68529.0,69186.0,71684.0,71945.0,74418.0,74819.0,69906.0,70030.0,73252.0,74891.0,68517.0,71189.0,74456.0,74688.0,74182.0,74843.0,1.965,874538.019,,,,,,,,
5,network-suite,2,512,1,6500000,6600000,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,2.886,24534.873,20459.0,24532.0,,,,,,
6,network-suite,2,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10495.0,10503.0,10294.0,10301.0,10163.0,10175.0,10234.0,10242.0,10252.0,10265.0,10212.0,10216.0,10292.0,10301.0,10296.0,10310.0,10100.0,10106.0,0.627,123111.46100000001,,,10961.0,10970.0,10257.0,10261.0,6500000.0,6600000.0
7,network-suite,2,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,0,0,29237.0,31908.0,28434.0,32293.999999999996,28832.0,32673.0,,,,,,,,,,,,,2.524,195066.093,29712.0,32768.0,30326.0,33352.0,29166.0,32069.000000000004,,
8,network-suite,1,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,0,0,29718.0,32406.999999999996,29041.0,30945.0,28875.0,32637.999999999996,,,,,,,,,,,,,2.848,192851.859,27549.0,32701.0,29522.0,32348.999999999996,29323.0,31809.0,,
9,network-suite,1,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,70640.0,72715.0,73617.0,74358.0,69121.0,69516.0,70452.0,70628.0,68383.0,68557.0,69959.0,70568.0,70718.0,70912.0,70601.0,70746.0,69596.0,69784.0,1.696,848545.708,,,,,,,,
10,network-suite,1,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10678.0,10699.0,10433.0,10451.0,10817.0,10832.0,10657.0,10666.0,10925.0,10941.0,10629.0,10654.0,10753.0,10772.0,10672.0,10681.0,10486.0,10503.0,0.6489999999999999,127818.273,,,11105.0,11127.0,11040.0,11054.0,6500000.0,6600000.0
11,network-suite,2,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,42741.0,47976.0,40923.0,47984.0,42253.0,47956.0,42834.0,47672.0,44430.0,49618.0,42039.0,46938.0,42791.0,46452.0,43603.0,47951.0,44679.0,46087.0,2.218,568476.059,,,,,,,,
12,dfs-reg-suite,1,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,47534.0,51350.0,47464.0,48383.0,48594.0,49427.0,49468.0,50172.0,48800.0,49108.0,47471.0,49709.0,46838.0,48370.0,45987.0,48254.0,47314.0,48262.0,123.406,590233.6830000001,,,,,,,,
13,dfs-reg-suite,1,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,16455.191,97812.715,23178.0,27203.0,24509.0,26999.0,23387.0,27156.0,,
14,dfs-reg-suite,2,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,2067.468,80321.464,22877.0,26603.0,23656.0,26649.0,23350.0,25001.0,,
15,dfs-reg-suite,1,512,1,6500000,6600000,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,5335.032,48609.187,29257.0,43274.0,,,,,,
16,dfs-reg-suite,2,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,76515.0,76588.0,74066.0,74196.0,76066.0,76296.0,71895.0,72288.0,74804.0,75191.0,72328.0,73283.0,72222.0,72432.0,75516.0,75839.0,74075.0,74321.0,93.53200000000001,898065.353,,,,,75128.0,75398.0,,
17,dfs-reg-suite,2,512,1,6500000,6600000,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,7280.41,48620.854999999996,28366.0,41340.0,,,,,,
18,dfs-reg-suite,2,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,11333.0,11366.0,11448.0,11466.0,11441.0,11471.0,11335.0,11357.0,11361.0,11387.0,11470.0,11487.0,11564.0,11583.0,11574.0,11594.0,11372.0,11409.0,60.811,138031.01499999998,,,12385.0,12416.0,11700.0,11735.0,6500000.0,6600000.0
19,dfs-reg-suite,2,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,0,0,32432.000000000004,35708.0,31552.0,35890.0,31435.0,34730.0,,,,,,,,,,,,,319.63599999999997,210521.96000000002,30598.0,34255.0,31358.0,35768.0,31890.0,33851.0,,
20,dfs-reg-suite,1,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,13000000.0,6500000.0,6600000.0,,,,,,,,,0,0,31372.0,33834.0,31931.0,35443.0,34546.0,37185.0,,,,,,,,,,,,,500.27299999999997,209431.41600000003,30878.0,34705.0,31824.0,33863.0,30925.0,33902.0,,
21,dfs-reg-suite,1,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,76472.0,76576.0,75455.0,75890.0,73946.0,74185.0,75203.0,75534.0,74085.0,75534.0,75092.0,75205.0,74835.0,75161.0,75280.0,75314.0,74472.0,74625.0,98.913,906686.108,,,,,,,,
22,dfs-reg-suite,1,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,11759.0,11797.0,11850.0,11881.0,11759.0,11780.0,12078.0,12110.0,11832.0,11861.0,11900.0,11923.0,12039.0,12057.0,11808.0,11840.0,11914.0,11940.0,57.137,141535.481,,,11930.0,11963.0,11746.0,11764.0,6500000.0,6600000.0
23,dfs-reg-suite,2,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,46346.0,47724.0,46882.0,50443.0,47950.0,48628.0,46957.0,48491.0,47528.0,51813.0,47464.0,49293.0,47428.0,48157.0,48103.0,50670.0,47657.0,50111.0,188.704,593237.103,,,,,,,,
24,dfs-seq-suite,1,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,45385.0,47954.0,46286.0,49838.0,44904.0,47668.0,46711.0,50622.0,46122.0,49139.0,44915.0,49261.0,45439.0,50761.0,45430.0,47654.0,45709.0,48558.0,219.993,593235.534,,,,,,,,
25,dfs-seq-suite,1,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,16483.256999999998,93531.947,22315.0,25085.0,24645.0,27103.0,21643.0,24861.0,,
26,dfs-seq-suite,2,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,6291.461,84490.266,22210.0,25044.0,24086.0,27155.0,23726.0,26000.0,,
27,dfs-seq-suite,1,512,1,6500000,6600000,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,1332.702,45087.065,28117.0,43754.0,,,,,,
28,dfs-seq-suite,2,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,73513.0,74309.0,72326.0,72401.0,71295.0,71325.0,71572.0,72154.0,71540.0,71564.0,74955.0,77311.0,74136.0,76302.0,72701.0,73058.0,72983.0,75327.0,118.203,889105.7590000001,,,,,,,,
29,dfs-seq-suite,2,512,1,6500000,6600000,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,26506.641,66708.08,26754.0,40201.0,,,,,,
30,dfs-seq-suite,2,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,11117.0,11151.0,11237.0,11266.0,11488.0,11505.0,11135.0,11151.0,11369.0,11393.0,11247.0,11261.0,11550.0,11558.0,11201.0,11211.0,11501.0,11533.0,60.917,134991.953,,,11319.0,11341.0,11564.0,11575.0,6500000.0,6600000.0
31,dfs-seq-suite,2,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,0,0,32028.0,33855.0,32435.000000000004,34751.0,31869.0,33823.0,,,,,,,,,,,,,351.782,208435.44700000001,31998.0,35521.0,32339.0,34858.0,31181.0,35276.0,,
32,dfs-seq-suite,1,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,,,0,0,31013.0,35266.0,31965.0,34484.0,32567.999999999996,35420.0,,,,,,,,,,,,,276.98499999999996,211093.443,31546.0,34959.0,30874.0,35726.0,31492.0,34962.0,,
33,dfs-seq-suite,1,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,72839.0,72984.0,74205.0,74321.0,71916.0,72307.0,75885.0,76381.0,74075.0,74345.0,72561.0,74265.0,73570.0,74438.0,73782.0,74085.0,73843.0,74452.0,97.042,897258.961,,,,,,,,
34,dfs-seq-suite,1,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10931.0,10942.0,11021.0,11036.0,10848.0,10860.0,11027.0,11052.0,11002.0,11026.0,10832.0,10855.0,10968.0,10996.0,10908.0,10916.0,10879.0,10930.0,56.415,131965.129,,,11781.0,11794.0,11381.0,11397.0,6500000.0,6600000.0
35,dfs-seq-suite,2,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,46120.0,48346.0,47162.0,49141.0,45254.0,48980.0,47357.0,48726.0,45456.0,49699.0,44999.0,48617.0,46965.0,47965.0,49206.0,50285.0,46405.0,48583.0,178.78199999999998,589988.149,,,,,,,,
