,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
0,dfs-ioonly,11,512,1,6500000,6500000,0,0,5898.0,61287.0,12083.726,73370.816,,,,,,,,,,,,,,,,,,,,
1,dfs-ioonly,11,256,3,6500000,6500000,0,0,3647.0,22120.0,18306.217,125823.318,6500000.0,6500000.0,6500000.0,6500000.0,6076.0,19801.0,4814.0,65596.0,,,,,,,,,,,,
2,dfs-ioonly,11,128,6,6500000,6500000,0,0,5411.0,14349.0,17688.611999999997,186864.052,6500000.0,6500000.0,6500000.0,6500000.0,6143.0,12118.0,5628.0,28454.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,5300.0,40495.0,5188.0,38523.0,5560.0,35236.0
3,dfs-ioonly,11,1024,1,3300000,3300000,0,0,3066.0,54343.0,15959.326000000001,70302.515,,,,,,,,,,,,,,,,,,,,
4,network-suite,11,512,1,6500000,6600000,0,0,24519.0,27129.0,104.152,27233.248,,,,,,,,,,,,,,,,,,,,
5,network-suite,11,256,3,6500000,6600000,0,0,23957.0,25666.0,66.107,77978.82400000001,6500000.0,6600000.0,6500000.0,6600000.0,23682.0,26220.0,24240.0,26027.0,,,,,,,,,,,,
6,network-suite,11,128,6,6500000,6600000,0,0,33135.0,35363.0,46.461000000000006,214607.897,6500000.0,6600000.0,6500000.0,6600000.0,33082.0,34885.0,33099.0,35425.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,33294.0,35624.0,33554.0,36581.0,34001.0,36683.0
7,network-suite,11,1024,1,3300000,3300000,0,0,12257.0,18189.0,186.583,18375.234,,,,,,,,,,,,,,,,,,,,
8,dfs-reg-suite,11,512,1,6500000,6600000,0,0,48345.0,100956.0,1907.747,102863.666,,,,,,,,,,,,,,,,,,,,
9,dfs-reg-suite,11,256,3,6500000,6600000,0,0,27246.0,29043.0,42242.893000000004,141642.546,6500000.0,6600000.0,6500000.0,6600000.0,26068.0,29348.0,35203.0,41009.0,,,,,,,,,,,,
10,dfs-reg-suite,11,128,6,6500000,6600000,0,0,35635.0,37794.0,2509.1580000000004,234447.441,6500000.0,6600000.0,6500000.0,6600000.0,35985.0,37117.0,35284.0,38636.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,35615.0,38009.0,36741.0,39331.0,38549.0,41052.0
11,dfs-reg-suite,11,1024,1,3300000,3300000,0,0,26155.0,55242.0,24279.658000000003,79521.957,,,,,,,,,,,,,,,,,,,,
